apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Van Den Burgh,G.,"Van Den Burgh, G.",Indias Orientales Holand.,,Defensor,https://www.losmundialesdefutbol.com/jugadores/g_van_den_burgh.php
Van Den Daele,Erwin,"Van Den Daele, Erwin",Bélgica,5 de marzo de 1945,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/erwin_van_den_daele.php
Van Der Elst,Francois,"Van Der Elst, Francois",Bélgica,1 de diciembre de 1954,Delantero,https://www.losmundialesdefutbol.com/jugadores/francois_van_der_elst.php
Van Der Elst,Franky,"Van Der Elst, Franky",Bélgica,30 de abril de 1961,"Defensor, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/franky_van_der_elst.php
Van Der Elst,Leo,"Van Der Elst, Leo",Bélgica,7 de enero de 1962,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/leo_van_der_elst.php
Van Der Heyden,Peter,"Van Der Heyden, Peter",Bélgica,16 de julio de 1976,Defensor,https://www.losmundialesdefutbol.com/jugadores/peter_van_der_heyden.php
Van Der Heyden,Stephane,"Van Der Heyden, Stephane",Bélgica,3 de julio de 1969,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/stephane_van_der_heyden.php
Van Der Linden,Jeff,"Van Der Linden, Jeff",Bélgica,2 de noviembre de 1927,Defensor,https://www.losmundialesdefutbol.com/jugadores/jeff_van_der_linden.php
Van Der Linden,Marc,"Van Der Linden, Marc",Bélgica,4 de febrero de 1964,Delantero,https://www.losmundialesdefutbol.com/jugadores/marc_van_der_linden.php
Van Der Meulen,Gejus,"Van Der Meulen, Gejus",Paises Bajos,23 de enero de 1903,Arquero,https://www.losmundialesdefutbol.com/jugadores/gejus_van_der_meulen.php
Van Der Sar,Edwin,"Van Der Sar, Edwin",Paises Bajos,29 de octubre de 1970,Arquero,https://www.losmundialesdefutbol.com/jugadores/edwin_van_der_sar.php
