anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Dong Woon Li,Corea del Norte,22,22,normal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Seung Kook Yang,Corea del Norte,25,25,normal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Eusebio,Portugal,27,27,normal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Eusebio,Portugal,43,43,penal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Eusebio,Portugal,56,56,normal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Eusebio,Portugal,59,59,penal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Jose Augusto,Portugal,80,80,normal,false
1966,Inglaterra,Argentina,1966_inglaterra_argentina,Geoff Hurst,Inglaterra,78,78,normal,false
1966,Alemania Occidental,Uruguay,1966_alemania_occidental_uruguay,Helmut Haller,Alemania Occidental,11,11,normal,false
1966,Alemania Occidental,Uruguay,1966_alemania_occidental_uruguay,Franz Beckenbauer,Alemania Occidental,70,70,normal,false
1966,Alemania Occidental,Uruguay,1966_alemania_occidental_uruguay,Uwe Seeler,Alemania Occidental,75,75,normal,false
1966,Alemania Occidental,Uruguay,1966_alemania_occidental_uruguay,Helmut Haller,Alemania Occidental,83,83,normal,false
1966,URSS,Hungría,1966_urss_hungria,Igor Chislenko,URSS,5,5,normal,false
1966,URSS,Hungría,1966_urss_hungria,Valeriy Porkuyan,URSS,46,46,normal,false
1966,URSS,Hungría,1966_urss_hungria,Ferenc Bene,Hungría,57,57,normal,false
1966,Alemania Occidental,URSS,1966_alemania_occidental_urss,Helmut Haller,Alemania Occidental,43,43,normal,false
1966,Alemania Occidental,URSS,1966_alemania_occidental_urss,Franz Beckenbauer,Alemania Occidental,67,67,normal,false
1966,Alemania Occidental,URSS,1966_alemania_occidental_urss,Valeriy Porkuyan,URSS,88,88,normal,false
1966,Inglaterra,Portugal,1966_inglaterra_portugal,Bobby Charlton,Inglaterra,30,30,normal,false
1966,Inglaterra,Portugal,1966_inglaterra_portugal,Bobby Charlton,Inglaterra,80,80,normal,false
1966,Inglaterra,Portugal,1966_inglaterra_portugal,Eusebio,Portugal,82,82,penal,false
1966,Portugal,URSS,1966_portugal_urss,Eusebio,Portugal,12,12,penal,false
1966,Portugal,URSS,1966_portugal_urss,Eduard Malofeyev,URSS,43,43,normal,false
1966,Portugal,URSS,1966_portugal_urss,Jose Torres,Portugal,89,89,normal,false
1966,Inglaterra,Alemania Occidental,1966_inglaterra_alemania_occidental,Helmut Haller,Alemania Occidental,12,12,normal,false
1966,Inglaterra,Alemania Occidental,1966_inglaterra_alemania_occidental,Geoff Hurst,Inglaterra,18,18,normal,false
1966,Inglaterra,Alemania Occidental,1966_inglaterra_alemania_occidental,Martin Peters,Inglaterra,78,78,normal,false
