apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Sánchez,Carlos,Carlos Andrés Sánchez Arcosa,Uruguay,2 de diciembre de 1984,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/carlos_andres_sanchez.php
Sánchez,Carlos,Carlos Alberto Sánchez Moreno,Colombia,6 de febrero de 1986,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/carlos_sanchez.php
Sánchez,Dávinson,Dávinson Sánchez Mina,Colombia,12 de junio de 1996,Defensor,https://www.losmundialesdefutbol.com/jugadores/davinson_sanchez.php
Sanchez,Efrain,"Sanchez, Efrain",Colombia,26 de febrero de 1926,Arquero,https://www.losmundialesdefutbol.com/jugadores/efrain_sanchez.php
Sanchez,Erwin,"Sanchez, Erwin",Bolivia,19 de octubre de 1969,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/erwin_sanchez.php
Sánchez,Hugo,Hugo Sánchez Márquez,México,11 de julio de 1958,Delantero,https://www.losmundialesdefutbol.com/jugadores/hugo_sanchez.php
Sanchez,Joel,"Sanchez, Joel",México,17 de agosto de 1974,Defensor,https://www.losmundialesdefutbol.com/jugadores/joel_sanchez.php
Sánchez,Jorge,"Sánchez, Jorge",México,10 de diciembre de 1997,Defensor,https://www.losmundialesdefutbol.com/jugadores/jorge_sanchez.php
Sanchez,Jose,"Sanchez, Jose",España,8 de octubre de 1956,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jose_sanchez.php
Sanchez,Leonel,"Sanchez, Leonel",Chile,25 de abril de 1936,"Delantero, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/leonel_sanchez.php
Sanchez,Oscar,"Sanchez, Oscar",Bolivia,16 de julio de 1971,Defensor,https://www.losmundialesdefutbol.com/jugadores/oscar_sanchez.php
Sanchez,Oswaldo,"Sanchez, Oswaldo",México,21 de septiembre de 1973,Arquero,https://www.losmundialesdefutbol.com/jugadores/oswaldo_sanchez.php
Sanchez,Raul,"Sanchez, Raul",Chile,26 de octubre de 1933,Defensor,https://www.losmundialesdefutbol.com/jugadores/raul_sanchez.php
Sánchez,Robert,"Sánchez, Robert",España,18 de noviembre de 1997,Arquero,https://www.losmundialesdefutbol.com/jugadores/robert_sanchez.php
Sanchez,Wellington,"Sanchez, Wellington",Ecuador,19 de junio de 1974,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/wellington_sanchez.php
Sanchis,Manuel,Manuel Sanchís Martínez,España,26 de marzo de 1938,Defensor,https://www.losmundialesdefutbol.com/jugadores/manuel_sanchis.php
Sanchis,Manuel,Manuel Sanchís Hontiyuelo,España,23 de mayo de 1965,Defensor,https://www.losmundialesdefutbol.com/jugadores/manuel_sanchis_2.php
Sancho,Brent,"Sancho, Brent",,,,https://www.losmundialesdefutbol.com/jugadores/brent_sancho.php
Sand,Ebbe,"Sand, Ebbe",Dinamarca,19 de julio de 1972,Delantero,https://www.losmundialesdefutbol.com/jugadores/ebbe_sand.php
Sandberg,Roland,"Sandberg, Roland",Suecia,16 de diciembre de 1946,Delantero,https://www.losmundialesdefutbol.com/jugadores/roland_sandberg.php
Sandoi,Emil,"Sandoi, Emil",Rumania,1 de marzo de 1965,Defensor,https://www.losmundialesdefutbol.com/jugadores/emil_sandoi.php
Sandor,Karoly,"Sandor, Karoly",Hungría,29 de noviembre de 1928,Delantero,https://www.losmundialesdefutbol.com/jugadores/karoly_sandor.php
Sandoval,Rodolfo,"Sandoval, Rodolfo",Uruguay,4 de octubre de 1948,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/rodolfo_sandoval.php
Sandro,Alex,Alex Sandro Lobo Silva,Brasil,26 de enero de 1991,Defensor,https://www.losmundialesdefutbol.com/jugadores/alex_sandro.php
Sandy,Marco Antonio,"Sandy, Marco Antonio",Bolivia,29 de agosto de 1971,Defensor,https://www.losmundialesdefutbol.com/jugadores/marco_antonio_sandy.php
Sané,Leroy,Leroy Aziz Sané,Alemania,11 de enero de 1996,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/leroy_sane.php
Sané,Salif,Salif Sané,Senegal,25 de agosto de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/salif_sane.php
Sanfilippo,Jose,"Sanfilippo, Jose",Argentina,4 de mayo de 1935,Delantero,https://www.losmundialesdefutbol.com/jugadores/jose_sanfilippo.php
Sangweni,Siyabonga,"Sangweni, Siyabonga",Sudáfrica,29 de septiembre de 1981,Defensor,https://www.losmundialesdefutbol.com/jugadores/siyabonga_sangweni.php
Sankovic,Goran,"Sankovic, Goran",Eslovenia,18 de junio de 1979,Defensor,https://www.losmundialesdefutbol.com/jugadores/goran_sankovic.php
Sanneh,Tony,"Sanneh, Tony",Estados Unidos,1 de junio de 1971,Defensor,https://www.losmundialesdefutbol.com/jugadores/tony_sanneh.php
