apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Braet,Robert,"Braet, Robert",BÃ©lgica,11 de febrero de 1912,Arquero,https://www.losmundialesdefutbol.com/jugadores/robert_braet.php
Brahimi,Yacine,"Brahimi, Yacine",Argelia,8 de febrero de 1990,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/yacine_brahimi.php
Braine,Pierre,"Braine, Pierre",BÃ©lgica,26 de octubre de 1900,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/pierre_braine.php
Braine,Raymond,"Braine, Raymond",BÃ©lgica,28 de abril de 1907,Delantero,https://www.losmundialesdefutbol.com/jugadores/raymond_braine.php
Braithwaite,Martin,Martin Braithwaite Christensen,Dinamarca,5 de junio de 1991,Delantero,https://www.losmundialesdefutbol.com/jugadores/martin_braithwaite.php
,Branco,Branco,Brasil,4 de abril de 1964,Defensor,https://www.losmundialesdefutbol.com/jugadores/branco.php
,Brandao,Brandao,Brasil,21 de abril de 1911,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/brandao.php
,Brandaozinho,Brandaozinho,Brasil,9 de junio de 1925,Defensor,https://www.losmundialesdefutbol.com/jugadores/brandaozinho.php
Brandt,Julian,Julian Brandt,Alemania,2 de mayo de 1996,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/julian_brandt.php
Brandts,Ernie,"Brandts, Ernie",Paises Bajos,3 de febrero de 1956,Defensor,https://www.losmundialesdefutbol.com/jugadores/ernie_brandts.php
Bransch,Bernd,"Bransch, Bernd",Alemania Oriental,24 de septiembre de 1944,Defensor,https://www.losmundialesdefutbol.com/jugadores/bernd_bransch.php
Bratseth,Rune,"Bratseth, Rune",Noruega,19 de marzo de 1961,Defensor,https://www.losmundialesdefutbol.com/jugadores/rune_bratseth.php
Braun,Georg,"Braun, Georg",Austria,22 de febrero de 1907,Delantero,https://www.losmundialesdefutbol.com/jugadores/georg_braun.php
Braun-Bogdan,Coloman,"Braun-Bogdan, Coloman",Rumania,13 de octubre de 1905,Delantero,https://www.losmundialesdefutbol.com/jugadores/coloman_braun_bogdan.php
Bravo,Claudio,"Bravo, Claudio",Chile,13 de abril de 1983,Arquero,https://www.losmundialesdefutbol.com/jugadores/claudio_bravo.php
Bravo,Omar,"Bravo, Omar",MÃ©xico,4 de marzo de 1980,Delantero,https://www.losmundialesdefutbol.com/jugadores/omar_bravo.php
Bravo,Sergio,"Bravo, Sergio",MÃ©xico,1 de enero de 1927,Defensor,https://www.losmundialesdefutbol.com/jugadores/sergio_bravo.php
Brazil,Alan,"Brazil, Alan",Escocia,15 de junio de 1959,Delantero,https://www.losmundialesdefutbol.com/jugadores/alan_brazil.php
Brecko,Miso,"Brecko, Miso",Eslovenia,1 de mayo de 1984,Defensor,https://www.losmundialesdefutbol.com/jugadores/miso_brecko.php
Breen,Gary,"Breen, Gary",Irlanda,12 de diciembre de 1973,Defensor,https://www.losmundialesdefutbol.com/jugadores/gary_breen.php
Bregy,Georges,"Bregy, Georges",Suiza,17 de enero de 1958,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/georges_bregy.php
Brehme,Andreas,"Brehme, Andreas",Alemania Occidental,9 de noviembre de 1960,Defensor,https://www.losmundialesdefutbol.com/jugadores/andreas_brehme.php
Breitenberger,Gerhard,"Breitenberger, Gerhard",Austria,14 de octubre de 1954,Defensor,https://www.losmundialesdefutbol.com/jugadores/gerhard_breitenberger.php
Breitner,Paul,"Breitner, Paul",Alemania Occidental,5 de septiembre de 1951,"Defensor, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/paul_breitner.php
,Gleison Bremer Silva Nascimento,Gleison Bremer Silva Nascimento,Brasil,18 de marzo de 1997,Defensor,https://www.losmundialesdefutbol.com/jugadores/bremer.php
Bremner,Billy,"Bremner, Billy",Escocia,9 de diciembre de 1942,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/billy_bremner.php
Brenes,Randall,"Brenes, Randall",Costa Rica,13 de agosto de 1983,Delantero,https://www.losmundialesdefutbol.com/jugadores/randall_brenes.php
Bresciano,Mark,Mark,Australia,11 de febrero de 1980,"Delantero, Mediocampista",https://www.losmundialesdefutbol.com/jugadores/marco_bresciano.php
Brichaut,Jean,"Brichaut, Jean",BÃ©lgica,29 de julio de 1911,Delantero,https://www.losmundialesdefutbol.com/jugadores/jean_brichaut.php
Bridge,Ian,"Bridge, Ian",CanadÃ¡,18 de septiembre de 1959,Defensor,https://www.losmundialesdefutbol.com/jugadores/ian_bridge.php
Bridge,Wayne,"Bridge, Wayne",Inglaterra,5 de agosto de 1980,Defensor,https://www.losmundialesdefutbol.com/jugadores/wayne_bridge.php
Briegel,Hans-Peter,"Briegel, Hans-Peter",Alemania Occidental,11 de octubre de 1955,Defensor,https://www.losmundialesdefutbol.com/jugadores/hans_peter_briegel.php
Bright,Dave,"Bright, Dave",Nueva Zelanda,29 de noviembre de 1949,Defensor,https://www.losmundialesdefutbol.com/jugadores/dave_bright.php
,Brilhante,Brilhante,Brasil,5 de noviembre de 1904,Defensor,https://www.losmundialesdefutbol.com/jugadores/brilhante.php
Brindisi,Miguel,"Brindisi, Miguel",Argentina,8 de octubre de 1950,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/miguel_brindisi.php
,Brito,Brito,Brasil,9 de agosto de 1939,Defensor,https://www.losmundialesdefutbol.com/jugadores/brito.php
Brito,Miguel,"Brito, Miguel",Bolivia,,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/miguel_brito.php
Britos,Julio Cesar,"Britos, Julio Cesar",Uruguay,18 de mayo de 1926,Delantero,https://www.losmundialesdefutbol.com/jugadores/julio_cesar_britos.php
,Britto,Britto,Brasil,6 de mayo de 1914,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/britto.php
Brizuela,Hugo,"Brizuela, Hugo",Paraguay,8 de febrero de 1970,Delantero,https://www.losmundialesdefutbol.com/jugadores/hugo_brizuela.php
Brizuela,IsaÃ¡c,Isaac Brizuela MuÃ±oz,MÃ©xico,28 de agosto de 1990,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/isaac_brizuela.php
Brnovic,Branko,"Brnovic, Branko",RF de Yugoslavia,8 de agosto de 1967,Defensor,https://www.losmundialesdefutbol.com/jugadores/branko_brnovic.php
Brnovic,Dragoljub,"Brnovic, Dragoljub",Yugoslavia,2 de noviembre de 1963,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/dragoljub_brnovic.php
Broadbent,Peter,"Broadbent, Peter",Inglaterra,15 de mayo de 1933,Delantero,https://www.losmundialesdefutbol.com/jugadores/peter_broadbent.php
Broadis,Ivor,"Broadis, Ivor",Inglaterra,18 de diciembre de 1922,Delantero,https://www.losmundialesdefutbol.com/jugadores/ivor_broadis.php
Brockie,Jeremy,"Brockie, Jeremy",Nueva Zelanda,7 de octubre de 1987,Delantero,https://www.losmundialesdefutbol.com/jugadores/jeremy_brockie.php
Brodmann,Rene,"Brodmann, Rene",Suiza,25 de octubre de 1933,Defensor,https://www.losmundialesdefutbol.com/jugadores/rene_brodmann.php
Broketa,Bozo,"Broketa, Bozo",Yugoslavia,24 de diciembre de 1921,Defensor,https://www.losmundialesdefutbol.com/jugadores/bozo_broketa.php
Brolin,Tomas,"Brolin, Tomas",Suecia,29 de noviembre de 1969,Delantero,https://www.losmundialesdefutbol.com/jugadores/tomas_brolin.php
Brom,Walter,"Brom, Walter",,,,https://www.losmundialesdefutbol.com/jugadores/walter_brom.php
Bronn,Dylan,Dylan Bronn,TÃºnez,19 de junio de 1995,Defensor,https://www.losmundialesdefutbol.com/jugadores/dylan_bronn.php
Brooking,Trevor,"Brooking, Trevor",Inglaterra,2 de octubre de 1948,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/trevor_brooking.php
